ward,time,median,mean
9312,1698796800,41.84,93.76
9312,1701388800,38.98,37.69
9312,1704067200,38.98,37.69
9312,1706745600,38.98,37.69
9313,1677628800,29.33,146.11
9313,1680307200,30.35,65.49
9313,1682899200,29.88,29.84
9313,1685577600,27.71,26.81
9313,1688169600,29.52,29.08
9313,1690848000,30.16,112.76
9313,1693526400,31.25,30.99
9313,1696118400,33.08,30.69
9313,1698796800,29.66,63.56
9313,1701388800,28.89,28.01
9313,1704067200,28.89,28.01
9313,1706745600,28.89,28.01
9314,1677628800,37.67,38.14
9314,1680307200,37.67,38.17
9314,1682899200,37.68,38.24
9314,1685577600,37.68,38.54
9314,1688169600,38.04,38.57
9314,1690848000,37.35,37.95
9314,1693526400,37.68,38.38
9314,1696118400,38.04,38.59
9314,1698796800,38.57,38.73
9314,1701388800,38.57,39.21
9314,1704067200,38.82,39.52
9314,1706745600,38.57,39.24
9315,1677628800,31.9,32.61
9315,1680307200,31.58,32.67
9315,1682899200,29.17,29.55
9315,1685577600,31.01,32.42
9315,1688169600,33.01,32.49
9315,1690848000,30.89,32.7
9315,1693526400,31.44,28.52
9315,1696118400,27.24,28.87
9315,1698796800,27.52,28.8
9315,1701388800,27.08,26.32
9315,1704067200,27.08,26.32
9315,1706745600,27.08,26.32
9316,1677628800,48.75,48.65
9316,1680307200,47.62,48.35
9316,1682899200,46.83,47.41
9316,1685577600,45.07,44.79
9316,1688169600,44.91,44.54
9316,1690848000,44.02,44.47
9316,1693526400,43.64,44.37
9316,1696118400,43.4,43.73
9316,1698796800,44,43.92
9316,1701388800,44.36,43.75
9316,1704067200,45.24,45.51
9316,1706745600,47.61,46.96
9317,1677628800,25.97,26.44
9317,1680307200,25.74,25.38
9317,1682899200,25,25.49
9317,1685577600,24.43,25.3
9317,1688169600,24.88,25.14
9317,1690848000,25,26.87
9317,1693526400,25.86,25.78
9317,1696118400,32.13,26.5
9317,1698796800,29.31,27.58
9317,1701388800,25.35,26.81
9317,1704067200,25.35,26.81
9317,1706745600,25.35,26.81
9318,1677628800,34.29,36.61
9318,1680307200,34.29,34.49
9318,1682899200,34.4,34.16
9318,1685577600,34.67,34.76
9318,1688169600,33.75,33.87
9318,1690848000,33.73,33.79
9318,1693526400,33.77,34.03
9318,1696118400,33.85,34.03
9318,1698796800,33.77,34.28
9318,1701388800,35.28,35.45
9318,1704067200,34.62,35.17
9318,1706745600,33.75,34.26
9319,1677628800,31.41,31.18
9319,1680307200,30.63,31.38
9319,1682899200,30.53,30.67
9319,1685577600,30.77,31.12
9319,1688169600,30.92,31.08
9319,1690848000,30.92,30.99
9319,1693526400,29.2,30.17
9319,1696118400,27.63,28.51
9319,1698796800,31.1,31.11
9319,1701388800,30.92,31.28
9319,1704067200,30.26,30.5
9319,1706745600,30.26,30.45
9320,1677628800,23,25.94
9320,1680307200,25,25.53
9320,1682899200,21.95,22.64
9320,1685577600,24.1,24.13
9320,1688169600,24.1,24.26
9320,1690848000,24.7,25.68
9320,1693526400,26.42,30.12
9320,1696118400,28.53,32.42
9320,1698796800,24.1,32.94
9320,1701388800,29.26,32.46
9320,1704067200,23.25,24.16
9320,1706745600,23.25,24.16
9321,1677628800,38.14,37.84
9321,1680307200,37.68,37.75
9321,1682899200,38.57,36.62
9321,1685577600,39,38.86
9321,1688169600,38.82,38.44
9321,1690848000,37.8,37.32
9321,1693526400,36.2,36.65
9321,1696118400,37.39,36.89
9321,1698796800,37.28,37.45
9321,1701388800,37.06,36.88
9321,1704067200,36.49,37.6
9321,1706745600,37.84,41.03
9322,1677628800,36.11,36.49
9322,1680307200,36.13,37.13
9322,1682899200,35.71,36.16
9322,1685577600,35.8,36.24
9322,1688169600,36.11,36.22
9322,1690848000,36.22,36.01
9322,1693526400,36.92,36.48
9322,1696118400,37.14,38.24
9322,1698796800,37.5,38.92
9322,1701388800,36.89,39.02
9322,1704067200,35.71,37.26
9322,1706745600,35.9,37.6
9323,1677628800,41.23,40.77
9323,1680307200,38.46,39.25
9323,1682899200,40,40.58
9323,1685577600,40.34,41.54
9323,1688169600,40.19,39.47
9323,1690848000,40,39.19
9323,1693526400,40.62,39.89
9323,1696118400,40,39.35
9323,1698796800,40,39.22
9323,1701388800,40.77,39.34
9323,1704067200,40,39.97
9323,1706745600,40,40.37
9324,1677628800,39.39,39.41
9324,1680307200,40.7,40.08
9324,1682899200,41.48,40.71
9324,1685577600,41.86,40.78
9324,1688169600,41.67,40.39
9324,1690848000,41.54,40.9
9324,1693526400,41.54,41.01
9324,1696118400,41.54,41.08
9324,1698796800,41.54,40.48
9324,1701388800,41.67,40.78
9324,1704067200,41.86,41.45
9324,1706745600,41.67,41.52
9509,1677628800,39.81,39.88
9509,1680307200,37.33,38.63
9509,1682899200,37.65,38.22
9509,1685577600,37.65,38.42
9509,1688169600,37.29,38.33
9509,1690848000,37,38.01
9509,1693526400,35.97,36.97
9509,1696118400,37.29,37.36
9509,1698796800,37.29,38.53
9509,1701388800,35.59,36.78
9509,1704067200,36.44,36.53
9509,1706745600,35.84,36.46
9517,1677628800,39.58,38.7
9517,1680307200,40.72,39.95
9517,1682899200,40.76,40.01
9517,1685577600,40.91,39.62
9517,1688169600,40.97,39.73
9517,1690848000,40.96,39.93
9517,1693526400,40.97,40.14
9517,1696118400,40.97,39.96
9517,1698796800,40.54,39.58
9517,1701388800,41.07,40.92
9517,1704067200,42,42.23
9517,1706745600,41.86,42.11
9518,1677628800,26.42,26.81
9518,1680307200,27.13,27.15
9518,1682899200,27.19,26.52
9518,1685577600,25.8,26.47
9518,1688169600,26,26.4
9518,1690848000,26,27.18
9518,1693526400,26.63,27.44
9518,1696118400,26.32,27.25
9518,1698796800,26.38,27.02
9518,1701388800,27.4,27.45
9518,1704067200,27.11,27.04
9518,1706745600,28.24,27.7
9519,1677628800,18.57,18.38
9519,1680307200,18.54,18.5
9519,1682899200,18.18,18.13
9519,1685577600,17.74,17.87
9519,1688169600,17.82,17.84
9519,1690848000,17.74,18.03
9519,1693526400,17.59,17.91
9519,1696118400,17.27,17.31
9519,1698796800,17.25,17.05
9519,1701388800,16.43,16.68
9519,1704067200,17.22,16.97
9519,1706745600,17.27,17.1
